ID,Condition,Face_Morph,Face_Set,Face_Set_Type,Resoponse_Type,Frequency
27,1,1,1,1,1,1
28,1,2,1,2,1,5
28,1,2,1,2,4,4
28,1,1,2,3,3,4
28,1,1,2,3,2,4
28,1,2,2,4,4,3
28,1,1,1,1,4,3
28,1,2,2,4,3,3
28,1,1,1,1,3,2
28,1,2,2,4,2,2
28,1,1,1,1,2,2
28,1,2,2,4,1,2
28,1,1,1,1,1,2
28,1,1,2,3,4,1
28,1,2,1,2,3,1
28,1,2,1,2,2,1
28,1,1,2,3,1,1
29,1,2,2,4,2,5
29,1,1,2,3,3,4
29,1,2,1,2,4,3
29,1,1,1,1,4,3
29,1,1,2,3,2,3
29,1,1,1,1,2,3
29,1,2,2,4,1,3
29,1,2,1,2,1,3
29,1,1,1,1,1,3
29,1,1,2,3,4,2
29,1,2,2,4,3,2
29,1,2,1,2,3,2
29,1,1,1,1,3,2
29,1,2,1,2,2,1
29,1,1,2,3,1,1
29,1,2,2,4,4,0
30,1,2,2,4,2,5
30,1,2,1,2,1,4
30,1,1,1,1,4,3
30,1,2,2,4,3,3
30,1,1,1,1,3,3
30,1,1,2,3,2,3
30,1,2,1,2,2,3
30,1,1,2,3,1,3
30,1,2,1,2,4,2
30,1,1,2,3,3,2
30,1,1,1,1,2,2
30,1,2,2,4,1,2
30,1,1,1,1,1,2
30,1,2,2,4,4,1
30,1,1,2,3,4,1
30,1,2,1,2,3,1
31,1,1,1,1,1,5
31,1,1,1,1,4,4
31,1,2,1,2,2,4
31,1,2,2,4,4,3
31,1,1,2,3,4,3
31,1,1,2,3,3,3
31,1,1,2,3,1,3
31,1,2,1,2,1,3
31,1,2,2,4,3,2
31,1,2,1,2,3,2
31,1,2,2,4,2,2
31,1,1,2,3,2,2
31,1,1,1,1,2,2
31,1,2,2,4,1,2
31,1,2,1,2,4,0
31,1,1,1,1,3,0
32,1,2,1,2,4,5
32,1,1,1,1,3,5
32,1,1,2,3,3,4
32,1,2,1,2,3,4
32,1,2,2,4,2,4
32,1,1,2,3,2,4
32,1,1,1,1,2,4
32,1,2,2,4,3,3
32,1,2,2,4,1,2
32,1,2,2,4,4,1
32,1,1,2,3,4,1
32,1,1,1,1,4,1
32,1,1,2,3,1,1
32,1,2,1,2,1,1
32,1,2,1,2,2,0
32,1,1,1,1,1,0
33,1,1,2,3,2,5
33,1,1,1,1,3,4
33,1,2,1,2,4,3
33,1,2,2,4,3,3
33,1,1,2,3,3,3
33,1,2,2,4,2,3
33,1,2,1,2,2,3
33,1,2,1,2,1,3
33,1,2,2,4,4,2
33,1,1,1,1,4,2
33,1,2,1,2,3,2
33,1,1,1,1,2,2
33,1,2,2,4,1,2
33,1,1,2,3,1,2
33,1,1,1,1,1,1
33,1,1,2,3,4,0
34,1,2,1,2,4,5
34,1,2,1,2,1,5
34,1,1,1,1,4,4
34,1,2,2,4,2,4
34,1,1,2,3,2,4
34,1,2,2,4,1,4
34,1,1,1,1,1,4
34,1,1,2,3,1,3
34,1,1,2,3,3,2
34,1,1,2,3,4,1
34,1,2,2,4,3,1
34,1,1,1,1,3,1
34,1,1,1,1,2,1
34,1,2,2,4,4,0
34,1,2,1,2,3,0
34,1,2,1,2,2,0
35,1,2,1,2,4,5
35,1,1,2,3,2,4
35,1,2,1,2,1,4
35,1,1,1,1,1,4
35,1,2,2,4,3,3
35,1,1,2,3,3,3
35,1,2,2,4,2,3
35,1,1,1,1,2,3
35,1,1,2,3,1,3
35,1,2,2,4,4,2
35,1,1,1,1,4,2
35,1,1,1,1,3,2
35,1,1,2,3,4,1
35,1,2,2,4,1,1
35,1,2,1,2,3,0
35,1,2,1,2,2,0
36,1,2,2,4,1,5
36,1,2,1,2,4,4
36,1,2,2,4,2,4
36,1,1,2,3,2,4
36,1,1,2,3,1,4
36,1,1,1,1,4,3
36,1,2,1,2,1,3
36,1,1,1,1,1,3
36,1,1,2,3,4,2
36,1,2,1,2,3,2
36,1,1,1,1,3,2
36,1,1,1,1,2,2
36,1,1,2,3,3,1
36,1,2,1,2,2,1
36,1,2,2,4,4,0
36,1,2,2,4,3,0
37,1,2,2,4,1,5
37,1,2,2,4,4,4
37,1,1,2,3,1,4
37,1,2,1,2,1,4
37,1,2,1,2,4,3
37,1,1,1,1,4,3
37,1,1,1,1,1,3
37,1,1,2,3,4,2
37,1,2,1,2,3,2
37,1,2,2,4,2,2
37,1,1,2,3,2,2
37,1,2,1,2,2,2
37,1,1,1,1,2,2
37,1,1,2,3,3,1
37,1,1,1,1,3,1
37,1,2,2,4,3,0
38,1,2,1,2,1,6
38,1,1,2,3,2,5
38,1,2,2,4,3,4
38,1,2,2,4,2,4
38,1,1,1,1,2,4
38,1,1,2,3,3,3
38,1,1,1,1,3,3
38,1,2,1,2,2,3
38,1,2,1,2,4,2
38,1,2,2,4,1,2
38,1,1,2,3,4,1
38,1,1,1,1,4,1
38,1,1,2,3,1,1
38,1,1,1,1,1,1
38,1,2,2,4,4,0
38,1,2,1,2,3,0
39,1,2,1,2,1,5
39,1,2,2,4,4,3
39,1,2,1,2,4,3
39,1,1,1,1,4,3
39,1,2,2,4,3,3
39,1,1,2,3,2,3
39,1,1,1,1,2,3
39,1,1,2,3,1,3
39,1,1,1,1,1,3
39,1,1,2,3,4,2
39,1,1,2,3,3,2
39,1,1,1,1,3,2
39,1,2,2,4,2,2
39,1,2,2,4,1,2
39,1,2,1,2,2,1
39,1,2,1,2,3,0
40,1,1,1,1,4,4
40,1,1,1,1,3,4
40,1,2,2,4,4,3
40,1,2,2,4,3,3
40,1,2,2,4,2,3
40,1,1,2,3,2,3
40,1,2,2,4,1,3
40,1,2,1,2,1,3
40,1,2,1,2,4,2
40,1,1,2,3,3,2
40,1,2,1,2,2,2
40,1,1,1,1,2,2
40,1,1,2,3,1,2
40,1,1,1,1,1,2
40,1,1,2,3,4,1
40,1,2,1,2,3,1
41,1,2,2,4,4,4
41,1,1,2,3,3,4
41,1,1,1,1,1,4
41,1,1,2,3,4,3
41,1,2,1,2,4,3
41,1,1,1,1,2,3
41,1,2,2,4,1,3
41,1,2,1,2,1,3
41,1,1,1,1,4,2
41,1,2,2,4,3,2
41,1,1,1,1,3,2
41,1,1,2,3,2,2
41,1,2,1,2,2,2
41,1,2,1,2,3,1
41,1,2,2,4,2,1
41,1,1,2,3,1,1
42,1,1,2,3,2,4
42,1,1,1,1,2,4
42,1,1,2,3,1,4
42,1,1,1,1,1,4
42,1,2,2,4,4,3
42,1,2,1,2,2,3
42,1,2,1,2,1,3
42,1,1,1,1,4,2
42,1,2,2,4,3,2
42,1,1,2,3,3,2
42,1,2,1,2,3,2
42,1,2,2,4,2,2
42,1,2,2,4,1,2
42,1,1,2,3,4,1
42,1,2,1,2,4,1
42,1,1,1,1,3,1
43,1,2,1,2,1,5
43,1,2,2,4,1,4
43,1,1,2,3,1,4
43,1,2,2,4,4,3
43,1,1,2,3,4,3
43,1,2,1,2,4,3
43,1,1,1,1,4,3
43,1,1,1,1,3,3
43,1,2,1,2,2,3
43,1,2,2,4,2,2
43,1,1,2,3,2,2
43,1,1,1,1,1,2
43,1,2,2,4,3,1
43,1,1,2,3,3,1
43,1,1,1,1,2,1
43,1,2,1,2,3,0
44,1,1,2,3,2,5
44,1,1,2,3,3,4
44,1,2,2,4,1,4
44,1,2,1,2,4,3
44,1,1,1,1,2,3
44,1,2,1,2,1,3
44,1,1,1,1,1,3
44,1,2,2,4,4,2
44,1,1,1,1,4,2
44,1,2,1,2,3,2
44,1,1,1,1,3,2
44,1,2,2,4,2,2
44,1,2,1,2,2,2
44,1,1,2,3,4,1
44,1,2,2,4,3,1
44,1,1,2,3,1,1
45,1,1,1,1,2,5
45,1,1,2,3,1,5
45,1,2,2,4,3,4
45,1,2,2,4,4,3
45,1,1,1,1,3,3
45,1,1,2,3,2,3
45,1,2,1,2,2,3
45,1,2,1,2,1,3
45,1,1,2,3,4,2
45,1,2,1,2,4,2
45,1,2,1,2,3,2
45,1,2,2,4,2,2
45,1,1,1,1,1,2
45,1,2,2,4,1,1
45,1,1,1,1,4,0
45,1,1,2,3,3,0
46,1,2,2,4,2,5
46,1,2,1,2,1,4
46,1,1,1,1,1,4
46,1,1,1,1,4,3
46,1,1,2,3,3,3
46,1,1,2,3,2,3
46,1,2,1,2,2,3
46,1,1,1,1,2,3
46,1,2,2,4,1,3
46,1,1,2,3,4,2
46,1,2,2,4,3,2
46,1,1,2,3,1,2
46,1,2,1,2,4,1
46,1,2,1,2,3,1
46,1,1,1,1,3,1
46,1,2,2,4,4,0
47,1,2,1,2,1,4
47,1,2,1,2,4,3
47,1,1,2,3,3,3
47,1,1,1,1,3,3
47,1,2,2,4,2,3
47,1,1,2,3,2,3
47,1,1,1,1,2,3
47,1,2,2,4,1,3
47,1,2,2,4,4,2
47,1,1,2,3,4,2
47,1,1,1,1,4,2
47,1,2,2,4,3,2
47,1,2,1,2,2,2
47,1,1,2,3,1,2
47,1,1,1,1,1,2
47,1,2,1,2,3,1
48,1,1,1,1,2,5
48,1,1,2,3,3,4
48,1,2,2,4,2,4
48,1,1,2,3,2,4
48,1,2,1,2,1,4
48,1,2,2,4,3,3
48,1,2,1,2,2,3
48,1,2,1,2,4,2
48,1,2,1,2,3,2
48,1,1,1,1,3,2
48,1,1,2,3,1,2
48,1,1,1,1,1,2
48,1,2,2,4,4,1
48,1,1,2,3,4,1
48,1,2,2,4,1,1
48,1,1,1,1,4,0
49,1,2,1,2,4,5
49,1,1,2,3,3,5
49,1,2,2,4,1,4
49,1,2,2,4,4,3
49,1,2,1,2,3,3
49,1,1,2,3,2,3
49,1,1,1,1,2,3
49,1,1,1,1,1,3
49,1,1,2,3,4,2
49,1,1,1,1,4,2
49,1,1,1,1,3,2
49,1,2,2,4,2,2
49,1,2,1,2,1,2
49,1,1,2,3,1,1
49,1,2,2,4,3,0
49,1,2,1,2,2,0
50,1,1,1,1,2,6
50,1,1,1,1,1,5
50,1,1,2,3,1,4
50,1,2,2,4,2,3
50,1,1,2,3,2,3
50,1,2,1,2,2,3
50,1,2,2,4,1,3
50,1,2,2,4,4,2
50,1,1,2,3,4,2
50,1,2,2,4,3,2
50,1,2,1,2,3,2
50,1,2,1,2,1,2
50,1,2,1,2,4,1
50,1,1,2,3,3,1
50,1,1,1,1,3,1
50,1,1,1,1,4,0
51,1,1,1,1,2,5
51,1,2,2,4,2,4
51,1,2,1,2,2,4
51,1,1,2,3,4,3
51,1,2,2,4,3,3
51,1,1,2,3,3,3
51,1,2,1,2,3,3
51,1,1,1,1,3,3
51,1,1,1,1,1,3
51,1,1,2,3,2,2
51,1,2,2,4,1,2
51,1,1,2,3,1,2
51,1,2,2,4,4,1
51,1,2,1,2,4,1
51,1,2,1,2,1,1
51,1,1,1,1,4,0
52,1,2,1,2,4,4
52,1,1,1,1,2,4
52,1,2,2,4,1,4
52,1,2,1,2,1,4
52,1,1,2,3,4,3
52,1,1,2,3,3,3
52,1,2,2,4,2,3
52,1,1,1,1,1,3
52,1,2,2,4,4,2
52,1,1,1,1,3,2
52,1,1,2,3,2,2
52,1,1,2,3,1,2
52,1,1,1,1,4,1
52,1,2,2,4,3,1
52,1,2,1,2,3,1
52,1,2,1,2,2,1
53,1,2,2,4,4,4
53,1,2,1,2,2,4
53,1,1,1,1,1,4
53,1,2,2,4,3,3
53,1,2,1,2,3,3
53,1,1,2,3,2,3
53,1,1,1,1,2,3
53,1,2,2,4,1,3
53,1,1,2,3,1,3
53,1,1,2,4,4,2
53,1,1,1,2,4,2
53,1,2,1,2,1,2
53,1,2,1,3,4,1
53,1,1,2,3,3,1
53,1,1,1,1,3,1
53,1,2,2,4,2,1
501,2,2,2,4,3,4
501,2,2,1,2,4,3
501,2,2,1,2,3,3
501,2,2,2,4,2,3
501,2,1,2,3,2,3
501,2,1,1,1,2,3
501,2,2,1,2,1,3
501,2,2,2,4,4,2
501,2,1,2,3,4,2
501,2,1,1,1,4,2
501,2,1,2,3,3,2
501,2,1,1,1,3,2
501,2,2,1,2,2,2
501,2,2,2,4,1,2
501,2,1,2,3,1,2
501,2,1,1,1,1,2
502,2,2,2,4,3,6
502,2,1,2,3,2,5
502,2,2,2,4,4,4
502,2,1,1,1,4,4
502,2,2,1,2,3,3
502,2,1,1,1,3,3
502,2,2,1,2,2,3
502,2,2,1,2,4,2
502,2,1,2,3,3,2
502,2,1,2,3,1,2
502,2,2,1,2,1,2
502,2,1,1,1,1,2
502,2,2,2,4,2,1
502,2,1,1,1,2,1
502,2,1,2,3,4,0
502,2,2,2,4,1,0
503,2,1,1,1,3,4
503,2,2,2,4,2,4
503,2,2,1,2,1,4
503,2,1,1,1,4,3
503,2,2,2,4,3,3
503,2,1,2,3,3,3
503,2,2,1,2,2,3
503,2,1,2,3,1,3
503,2,2,2,4,4,2
503,2,1,2,3,4,2
503,2,2,1,2,4,2
503,2,1,2,3,2,2
503,2,1,1,1,2,2
503,2,2,1,2,3,1
503,2,2,2,4,1,1
503,2,1,1,1,1,1
504,2,2,2,4,3,5
504,2,1,1,1,2,5
504,2,2,1,2,1,5
504,2,2,1,2,4,3
504,2,1,2,3,3,3
504,2,2,2,4,2,3
504,2,1,2,3,2,3
504,2,1,1,1,1,3
504,2,2,2,4,4,2
504,2,1,2,3,4,2
504,2,1,1,1,3,2
504,2,2,1,2,2,2
504,2,1,2,3,1,2
504,2,1,1,1,4,0
504,2,2,1,2,3,0
504,2,2,2,4,1,0
505,2,2,1,2,4,5
505,2,1,1,1,3,4
505,2,2,2,4,4,3
505,2,2,2,4,3,3
505,2,2,1,2,3,3
505,2,1,2,3,2,3
505,2,1,1,1,2,3
505,2,2,2,4,1,3
505,2,1,2,3,4,2
505,2,1,1,1,4,2
505,2,1,2,3,3,2
505,2,2,2,4,2,2
505,2,1,2,3,1,2
505,2,2,1,2,1,2
505,2,1,1,1,1,1
505,2,2,1,2,2,0
506,2,1,2,3,3,5
506,2,2,2,4,2,5
506,2,2,1,2,2,5
506,2,2,1,2,1,5
506,2,2,2,4,3,3
506,2,1,2,3,2,3
506,2,1,1,1,2,3
506,2,1,1,1,1,3
506,2,1,2,3,4,2
506,2,1,1,1,4,2
506,2,1,1,1,3,2
506,2,2,2,4,1,1
506,2,1,2,3,1,1
506,2,2,2,4,4,0
506,2,2,1,2,4,0
506,2,2,1,2,3,0
507,2,1,1,1,4,4
507,2,1,2,3,1,4
507,2,2,1,2,1,4
507,2,2,2,4,4,3
507,2,1,2,3,4,3
507,2,2,2,4,3,3
507,2,1,1,1,3,3
507,2,2,1,2,2,3
507,2,2,1,2,4,2
507,2,2,2,4,2,2
507,2,1,2,3,2,2
507,2,2,2,4,1,2
507,2,1,1,1,1,2
507,2,1,2,3,3,1
507,2,2,1,2,3,1
507,2,1,1,1,2,1
508,2,1,1,1,1,5
508,2,2,2,4,3,4
508,2,2,2,4,2,4
508,2,1,2,3,2,4
508,2,1,2,3,1,4
508,2,1,1,1,4,3
508,2,2,1,2,3,3
508,2,1,1,1,2,3
508,2,2,1,2,4,2
508,2,1,2,3,3,2
508,2,2,1,2,2,2
508,2,2,1,2,1,2
508,2,2,2,4,4,1
508,2,1,2,3,4,1
508,2,1,1,1,3,0
508,2,2,2,4,1,0
509,2,1,2,3,3,4
509,2,1,2,3,2,4
509,2,2,2,4,4,3
509,2,2,1,2,3,3
509,2,1,1,1,3,3
509,2,2,2,4,2,3
509,2,2,1,2,2,3
509,2,1,1,1,2,3
509,2,2,2,4,1,3
509,2,2,1,2,4,2
509,2,1,1,1,4,2
509,2,2,2,4,3,2
509,2,2,1,2,1,2
509,2,1,1,1,1,2
509,2,1,2,3,1,1
509,2,1,2,3,4,0
510,2,1,1,1,2,5
510,2,2,2,4,1,5
510,2,1,2,3,1,5
510,2,2,2,4,4,4
510,2,2,1,2,4,4
510,2,2,1,2,1,4
510,2,1,2,3,4,3
510,2,1,1,1,1,3
510,2,1,1,1,3,2
510,2,1,2,3,2,2
510,2,2,1,2,3,1
510,2,2,2,4,2,1
510,2,2,1,2,2,1
510,2,1,1,1,4,0
510,2,2,2,4,3,0
510,2,1,2,3,3,0
511,2,1,2,3,2,4
511,2,1,2,3,1,4
511,2,2,1,2,1,4
511,2,1,1,1,1,4
511,2,2,2,4,4,3
511,2,2,2,4,3,3
511,2,2,1,2,2,3
511,2,1,1,1,2,3
511,2,2,2,4,1,3
511,2,2,1,2,4,2
511,2,1,1,1,4,2
511,2,2,1,2,3,2
511,2,2,2,4,2,2
511,2,1,2,3,4,1
511,2,1,2,3,3,0
511,2,1,1,1,3,0
512,2,2,1,2,4,5
512,2,1,2,3,1,5
512,2,1,2,3,2,4
512,2,2,2,4,1,4
512,2,2,1,2,3,3
512,2,2,2,4,2,3
512,2,1,1,1,2,3
512,2,1,1,1,1,3
512,2,2,2,4,4,2
512,2,1,1,1,4,2
512,2,1,1,1,3,2
512,2,2,1,2,1,2
512,2,1,2,3,4,1
512,2,1,2,3,3,1
512,2,2,2,4,3,0
512,2,2,1,2,2,0
513,2,1,2,3,1,5
513,2,1,1,1,3,4
513,2,1,2,3,4,3
513,2,1,1,1,4,3
513,2,2,2,4,3,3
513,2,2,2,4,2,3
513,2,2,1,2,2,3
513,2,2,1,2,1,3
513,2,2,2,4,4,2
513,2,2,1,2,4,2
513,2,2,1,2,3,2
