subjectNumber,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,DOM_RATING,MEM,Face_Data_Set,Morph_type,CON_1,CON_2
44,21,7,180.75,61.05,7.7,80,47.5,27,2,4.5,.5,1,2,6.2,6.1
44,21,7,180.75,61.05,7.7,80,47.5,27,3,3.8,.6,2,1,6,5.7
44,21,7,180.75,61.05,7.7,80,47.5,27,4,4.5,.5,2,2,5.4,5.5
45,21,18,177.25,77.02,16.65,70,80,39,1,2.9,.6,1,1,6.33,6.4
45,21,18,177.25,77.02,16.65,70,80,39,2,3.7,.7,1,2,9.43,8.4
45,21,18,177.25,77.02,16.65,70,80,39,3,2.2,.5,2,1,8.8,9
45,21,18,177.25,77.02,16.65,70,80,39,4,3.1,.6,2,2,6.33,6.8
46,19,10,176.65,72.26,13.9,53.75,39,31,1,2.7,.6,1,1,4.5,3.9
46,19,10,176.65,72.26,13.9,53.75,39,31,2,3.5,.7,1,2,3.14,3.4
46,19,10,176.65,72.26,13.9,53.75,39,31,3,3.5,.8,2,1,2.63,2.7
46,19,10,176.65,72.26,13.9,53.75,39,31,4,3,.6,2,2,4.83,4.6
47,19,18,183.8,88.86,23.65,150,77.5,40,1,4.2,.6,1,1,5.67,5.2
47,19,18,183.8,88.86,23.65,150,77.5,40,2,3.6,.4,1,2,4,4.4
47,19,18,183.8,88.86,23.65,150,77.5,40,3,4.9,.7,2,1,4.29,4.2
47,19,18,183.8,88.86,23.65,150,77.5,40,4,4.4,.5,2,2,4.6,4.5
48,19,16,175.75,194.9,25.8,80,72.5,36,1,4.3,.7,1,1,8.29,7.6
48,19,16,175.75,194.9,25.8,80,72.5,36,2,4.6,.6,1,2,6,6.6
48,19,16,175.75,194.9,25.8,80,72.5,36,3,3.9,.8,2,1,6.88,6.3
48,19,16,175.75,194.9,25.8,80,72.5,36,4,4.5,.4,2,2,4.25,5.2
49,19,5,188,136.8,6.65,72.5,67.5,36,1,4.1,.5,1,1,3.8,4.78
49,19,5,188,136.8,6.65,72.5,67.5,36,2,4.2,.7,1,2,5.14,4.7
49,19,5,188,136.8,6.65,72.5,67.5,36,3,3,.2,2,1,5,3.8
49,19,5,188,136.8,6.65,72.5,67.5,36,4,3.6,.4,2,2,2,3.7
50, , ,174,60.42,11,87.5,74,27,1,4.1,1,1,1,4.6,5.11
50, , ,174,60.42,11,87.5,74,27,2,4.4,.5,1,2,3.6,5.33
50, , ,174,60.42,11,87.5,74,27,3,4.6,.6,2,1,2.5,4.86
50, , ,174,60.42,11,87.5,74,27,4,4.3,.8,2,2,4.13,5.5
51,24,14,174,60.42,11,87.5,74,27,1,3.3,.6,1,1,4.33,4.5
51,24,14,174,60.42,11,87.5,74,27,2,3.3,.5,1,2,4.2,4.4
51,24,14,174,60.42,11,87.5,74,27,3,3,.7,2,1,3.57,3.7
51,24,14,174,60.42,11,87.5,74,27,4,3.4,.5,2,2,4.4,4.6
52,20,25,173.25,64.32,15.35,67.5,45,42,1,4.5,.5,1,1,5.4,5.9
52,20,25,173.25,64.32,15.35,67.5,45,42,2,5.2,.6,1,2,5.5,5.4
52,20,25,173.25,64.32,15.35,67.5,45,42,3,4.2,.4,2,1,6.75,6.9
52,20,25,173.25,64.32,15.35,67.5,45,42,4,4.5,.8,2,2,6.25,6
53,19,11,179.75,159.8,14.1,100,56.25,28,1,3.3,.7,1,1,6.57,6.8
53,19,11,179.75,159.8,14.1,100,56.25,28,2,3,.5,1,2,6.4,7.78
53,19,11,179.75,159.8,14.1,100,56.25,28,3,3.1,.5,2,1,5.6,6.89
53,19,11,179.75,159.8,14.1,100,56.25,28,4,2.3,.6,2,2,6.67,6.44
