ID,Face_Morph,Face_Set,Face_Set_Type,Resoponse_Type,Frequency
39,2,1,2,3,0
39,2,1,3,4,3
39,1,2,3,1,3
39,1,2,3,2,3
39,1,2,3,3,2
39,1,2,4,4,2
39,2,2,4,1,2
39,2,2,4,2,2
39,2,2,4,3,3
40,1,1,1,1,2
40,1,1,1,2,2
40,1,1,1,3,4
40,2,2,1,4,3
40,1,1,2,4,4
40,2,1,2,1,3
40,2,1,2,2,2
40,2,1,2,3,1
40,2,1,3,4,2
40,1,2,3,1,2
40,1,2,3,2,3
40,1,2,3,3,2
40,1,2,4,4,1
40,2,2,4,1,3
40,2,2,4,2,3
40,2,2,4,3,3
41,1,1,1,1,4
41,1,1,1,2,3
41,1,1,1,3,2
41,2,2,1,4,4
41,1,1,2,4,2
41,2,1,2,1,3
41,2,1,2,2,2
41,2,1,2,3,1
41,2,1,3,4,3
41,1,2,3,1,1
41,1,2,3,2,2
41,1,2,3,3,4
41,1,2,4,4,3
41,2,2,4,1,3
41,2,2,4,2,1
41,2,2,4,3,2
42,1,1,1,1,4
42,1,1,1,2,4
42,1,1,1,3,1
42,2,2,1,4,3
42,1,1,2,4,2
42,2,1,2,1,3
42,2,1,2,2,3
42,2,1,2,3,2
42,2,1,3,4,1
42,1,2,3,1,4
42,1,2,3,2,4
42,1,2,3,3,2
42,1,2,4,4,1
42,2,2,4,1,2
42,2,2,4,2,2
42,2,2,4,3,2
43,1,1,1,1,2
43,1,1,1,2,1
43,1,1,1,3,3
43,2,2,1,4,3
43,1,1,2,4,3
43,2,1,2,1,5
43,2,1,2,2,3
43,2,1,2,3,0
43,2,1,3,4,3
43,1,2,3,1,4
43,1,2,3,2,2
43,1,2,3,3,1
43,1,2,4,4,3
43,2,2,4,1,4
43,2,2,4,2,2
43,2,2,4,3,1
44,1,1,1,1,3
44,1,1,1,2,3
44,1,1,1,3,2
44,2,2,1,4,2
44,1,1,2,4,2
44,2,1,2,1,3
44,2,1,2,2,2
44,2,1,2,3,2
44,2,1,3,4,3
44,1,2,3,1,1
44,1,2,3,2,5
44,1,2,3,3,4
44,1,2,4,4,1
44,2,2,4,1,4
44,2,2,4,2,2
44,2,2,4,3,1
45,1,1,1,1,2
45,1,1,1,2,5
45,1,1,1,3,3
45,2,2,1,4,3
45,1,1,2,4,0
45,2,1,2,1,3
45,2,1,2,2,3
45,2,1,2,3,2
45,2,1,3,4,2
45,1,2,3,1,5
45,1,2,3,2,3
45,1,2,3,3,0
45,1,2,4,4,2
45,2,2,4,1,1
45,2,2,4,2,2
45,2,2,4,3,4
46,1,1,1,1,4
46,1,1,1,2,3
46,1,1,1,3,1
46,2,2,1,4,0
