subjectNumber,Condition,AGE,TRAIT_DOM,HEIGHT,WEIGHT,BODY_FAT,GRIP_STRENGTH,CHEST_STRENGTH,DOM_IPIP,FACECON,Face_Data_Set,Morph_type,DOM_RATING,MEM,COM
505,2,19,10,171.85,70.9090909090909,14.6,70,45,26,4,2,2,3.3,.5,10
506,2,19,8,169.5,66.4545454545454,16.2,62.5,52.5,25,1,1,1,3.6,.5,5.8
506,2,19,8,169.5,66.4545454545454,16.2,62.5,52.5,25,2,1,2,3.5,.6,4.5
506,2,19,8,169.5,66.4545454545454,16.2,62.5,52.5,25,3,2,1,2.6,.8,5.25
506,2,19,8,169.5,66.4545454545454,16.2,62.5,52.5,25,4,2,2,3.3,.7,5.86
507,2,19,16,177,55.9545454545454, ,85,55,36,1,1,1,4.8,.2,3.5
507,2,19,16,177,55.9545454545454, ,85,55,36,2,1,2,5.5,.5,6.2
507,2,19,16,177,55.9545454545454, ,85,55,36,3,2,1,4.4,.8,6.63
507,2,19,16,177,55.9545454545454, ,85,55,36,4,2,2,4.9,.5,6
508,2,23,16,167.25,55.1363636363636,10,90,87.5,34,1,1,1,3.9,.6,5.67
508,2,23,16,167.25,55.1363636363636,10,90,87.5,34,2,1,2,4.3,.5,4.4
508,2,23,16,167.25,55.1363636363636,10,90,87.5,34,3,2,1,3.4,.4,5
508,2,23,16,167.25,55.1363636363636,10,90,87.5,34,4,2,2,4.3,.9,5.89
509,2,20,10,178.5,66.7727272727273,10.75,95,80,38,1,1,1,4.6,.7,6.57
509,2,20,10,178.5,66.7727272727273,10.75,95,80,38,2,1,2,5.4,.5,6.4
509,2,20,10,178.5,66.7727272727273,10.75,95,80,38,3,2,1,3.5,.5,6.6
509,2,20,10,178.5,66.7727272727273,10.75,95,80,38,4,2,2,5.4,.4,8.75
510,2,20,13,178,68.2272727272727,16.3,82.5,60,30,1,1,1,4.7,.6,6.17
510,2,20,13,178,68.2272727272727,16.3,82.5,60,30,2,1,2,4.1,.4,4.75
510,2,20,13,178,68.2272727272727,16.3,82.5,60,30,3,2,1,3.8,.7,6
510,2,20,13,178,68.2272727272727,16.3,82.5,60,30,4,2,2,4,.9,3.11
511,2,19,14,170,64.0909090909091,13.5,90,86.5,37,1,1,1,4.4,.4,3
511,2,19,14,170,64.0909090909091,13.5,90,86.5,37,2,1,2,4.4,.8,6.63
511,2,19,14,170,64.0909090909091,13.5,90,86.5,37,3,2,1,2.5,.7,6.57
511,2,19,14,170,64.0909090909091,13.5,90,86.5,37,4,2,2,4,.8,6.63
512,2,22,13,184.5,89.7727272727273,18.25,100,75,35,1,1,1,2.7,.4,7.75
512,2,22,13,184.5,89.7727272727273,18.25,100,75,35,2,1,2,4.1,.6,6.67
512,2,22,13,184.5,89.7727272727273,18.25,100,75,35,3,2,1,4.2,.6,7.33
512,2,22,13,184.5,89.7727272727273,18.25,100,75,35,4,2,2,4.2,.8,7.13
513,2,24,9,171.4,60.1818181818182,12.65,90,65,25,1,1,1,3.3,.6,5.5
513,2,24,9,171.4,60.1818181818182,12.65,90,65,25,2,1,2,4.1,.5,6
513,2,24,9,171.4,60.1818181818182,12.65,90,65,25,3,2,1,2.5,.5,5.8
513,2,24,9,171.4,60.1818181818182,12.65,90,65,25,4,2,2,3.4,.5,7.6
514,2,20,8,166.1,74.3636363636364,21.45,65,47.5,32,1,1,1,4.1,.7,3.43
514,2,20,8,166.1,74.3636363636364,21.45,65,47.5,32,2,1,2,3.6,.5,3
514,2,20,8,166.1,74.3636363636364,21.45,65,47.5,32,3,2,1,3.2,.6,3.67
514,2,20,8,166.1,74.3636363636364,21.45,65,47.5,32,4,2,2,3.5,.6,1.83
515,2,21,22,182.05,757.727272727273,13.1,130,135,40,1,1,1,4,.6,6.33
515,2,21,22,182.05,757.727272727273,13.1,130,135,40,2,1,2,4.5,.7,8.71
515,2,21,22,182.05,757.727272727273,13.1,130,135,40,3,2,1,3.4,.7,5.14
515,2,21,22,182.05,757.727272727273,13.1,130,135,40,4,2,2,4.3,.5,7.6
516,2,24,4,189.25,79.5454545454545,12.6,110,95,22,1,1,1,2.8,.5,7
516,2,24,4,189.25,79.5454545454545,12.6,110,95,22,2,1,2,4,.8,8.88
516,2,24,4,189.25,79.5454545454545,12.6,110,95,22,3,2,1,3.2,.7,7.86
516,2,24,4,189.25,79.5454545454545,12.6,110,95,22,4,2,2,3.9,.7,6
517,2,21,16,169.5,74.3636363636364,22.9,100,55,36,1,1,1,3.4,.6,3.83
517,2,21,16,169.5,74.3636363636364,22.9,100,55,36,2,1,2,3.7,.5,5.6
517,2,21,16,169.5,74.3636363636364,22.9,100,55,36,3,2,1,3.1,.7,4
517,2,21,16,169.5,74.3636363636364,22.9,100,55,36,4,2,2,3.4,.6,4.5
518,2,22,22,169.75,73.6818181818182,16.9,90,82.5,37,1,1,1,4.2,.3,3.33
518,2,22,22,169.75,73.6818181818182,16.9,90,82.5,37,2,1,2,5.1,.3,3.67
518,2,22,22,169.75,73.6818181818182,16.9,90,82.5,37,3,2,1,3.6,.4,4.5
518,2,22,22,169.75,73.6818181818182,16.9,90,82.5,37,4,2,2,5.1,.6,4.5
520,2,20,20,179.5,62.6363636363636,8.55,100,57.5,34,1,1,1,2.7,.6,3.83
520,2,20,20,179.5,62.6363636363636,8.55,100,57.5,34,2,1,2,3.6,.4,4.75
520,2,20,20,179.5,62.6363636363636,8.55,100,57.5,34,3,2,1,4.1,.7,6
520,2,20,20,179.5,62.6363636363636,8.55,100,57.5,34,4,2,2,4.3,.4,5.25
521,2,19,16,172.5,85.7272727272727,24.8,180,70,39,1,1,1,4,.6,7.83
